fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.8,0.34,0.44,6.6,0.052,28,156,0.9955,3.14,0.41,9.6,5.0
8.3,0.21,0.41,2.2,0.05,24,108,0.994,2.85,0.45,9.5,5.0
7.2,0.19,0.31,1.4,0.046,37,135,0.9939,3.34,0.57,10.2,7.0
6.6,0.38,0.29,2.4,0.136,15,93,0.99336,3.18,0.6,9.5,5.0
6.5,0.24,0.39,17.3,0.052,22,126,0.99888,3.11,0.47,9.2,6.0
6.1,0.31,0.26,2.2,0.051,28,167,0.9926,3.37,0.47,10.4,6.0
7.5,0.42,0.45,9.1,0.029,20,125,0.996,3.12,0.36,10.1,6.0
6.8,0.46,0.26,6.3,0.147,49,159,0.99434,3.14,0.47,10.0,5.0
7.4,0.26,0.29,3.7,0.048,14,73,0.9915,3.06,0.45,11.4,6.0
6.3,0.28,0.34,8.1,0.038,44,129,0.99248,3.26,0.29,12.1,6.0
5.8,0.25,0.24,13.3,0.044,41,137,0.9972,3.34,0.42,9.5,5.0
6.8,0.21,0.36,18.1,0.046,32,133,1,3.27,0.48,8.8,5.0
6.8,0.32,0.37,3.4,0.023,19,87,0.9902,3.14,0.53,12.7,6.0
8.2,0.27,0.43,1.6,0.035,31,128,0.9916,3.1,0.5,12.3,6.0
6.1,0.19,0.37,2.6,0.041,24,99,0.99153,3.18,0.5,10.9,6.0
6.5,0.46,0.41,16.8,0.084,59,222,0.9993,3.18,0.58,9.0,5.0
6.2,0.38,0.18,7.4,0.095,28,195,0.99773,3.53,0.71,9.2,4.0
8.3,0.24,0.27,2.1,0.03,22,162,0.9914,2.99,0.68,11.9,6.0
7.3,0.37,0.16,14.9,0.048,59,240,0.99902,3.13,0.45,8.9,5.0
5,0.33,0.16,1.5,0.049,10,97,0.9917,3.48,0.44,10.7,6.0
6.9,0.19,0.38,1.15,0.023,30,105,0.99047,3.11,0.38,11.4,5.0
7.2,0.29,0.4,13.6,0.045,66,231,0.9977,3.08,0.59,9.6,6.0
6.8,0.22,0.36,1.2,0.052,38,127,0.9933,3.04,0.54,9.2,5.0
7.3,0.25,0.42,14.2,0.041,57,182,0.9996,3.29,0.75,9.1,7.0
6.1,0.41,0.04,1.3,0.036,23,121,0.99228,3.24,0.61,9.9,6.0
6.5,0.35,0.28,12.4,0.051,86,213,0.9962,3.16,0.51,9.9,6.0
6.6,0.25,0.3,1.6,0.046,32,134,0.993,3.42,0.51,10.1,7.0
7.9,0.41,0.37,4.5,0.03,40,114,0.992,3.17,0.54,12.4,7.0
4.9,0.235,0.27,11.75,0.03,34,118,0.9954,3.07,0.5,9.4,6.0
6.8,0.28,0.36,8,0.045,28,123,0.9928,3.02,0.37,11.4,6.0
7.2,0.27,0.37,5.4,0.026,27,114,0.99174,3.13,0.84,12.7,5.0
6.4,0.41,0.01,6.1,0.048,20,70,0.99362,3.19,0.42,10.0,5.0
7.8,0.2,0.28,10.2,0.054,78,186,0.997,3.14,0.46,10.0,6.0
7.1,0.21,0.31,3.8,0.021,40,142,0.99215,3.17,0.39,10.8,7.0
5.9,0.24,0.34,2,0.037,40,108,0.98948,3.19,0.5,12.3,6.0
7.4,0.27,0.48,1.1,0.047,17,132,0.9914,3.19,0.49,11.6,6.0
7.2,0.29,0.18,8.2,0.042,41,180,0.99644,3.16,0.49,9.1,5.0
6.2,0.3,0.31,1.2,0.048,19,125,0.98999,3.32,0.54,12.6,6.0
7.1,0.44,0.37,2.7,0.041,35,128,0.9896,3.07,0.43,13.5,7.0
6.9,0.3,0.29,1.3,0.053,24,189,0.99362,3.29,0.54,9.9,4.0
6.7,0.5,0.63,13.4,0.078,81,238,0.9988,3.08,0.44,9.2,5.0
7,0.12,0.19,4.9,0.055,27,127,0.9953,3.29,0.41,9.4,5.0
6.8,0.28,0.43,7.6,0.03,30,110,0.99164,3.08,0.59,12.5,8.0
6.4,0.17,0.27,1.5,0.037,20,98,0.9916,3.46,0.42,11.0,7.0
6.1,0.31,0.37,8.4,0.031,70,170,0.9934,3.42,0.4,11.7,8.0
7.1,0.38,0.4,2.2,0.042,54,201,0.99177,3.03,0.5,11.4,5.0
6,0.27,0.15,1.5,0.056,35,128,0.9936,3.12,0.45,8.8,5.0
6.4,0.5,0.2,2.4,0.059,19,112,0.99314,3.18,0.4,9.2,6.0
6.5,0.14,0.32,2.7,0.037,18,89,0.9924,3.4,0.74,11.5,7.0
6.8,0.27,0.22,17.8,0.034,16,116,0.9989,3.07,0.53,9.2,5.0
6.8,0.34,0.69,1.3,0.058,12,171,0.9931,3.06,0.47,9.7,5.0
6.5,0.29,0.31,1.7,0.035,24,79,0.99053,3.27,0.69,11.4,7.0
5.9,0.37,0.32,1.6,0.029,41,102,0.98916,3.41,0.55,12.7,7.0
6.1,0.27,0.28,9.8,0.042,61,125,0.99532,3.14,0.42,10.2,6.0
6.6,0.36,0.52,10.1,0.05,29,140,0.99628,3.07,0.4,9.4,5.0
6.5,0.17,0.31,1.5,0.041,34,121,0.99092,3.06,0.46,10.5,6.0
7.7,0.42,0.31,9.2,0.048,22,221,0.9969,3.06,0.61,9.2,6.0
7.5,0.33,0.39,12.4,0.065,29,119,0.9974,3.16,0.39,9.4,5.0
6.8,0.17,0.74,2.4,0.053,61,182,0.9953,3.63,0.76,10.5,6.0
6.6,0.24,0.28,6.7,0.032,26,91,0.99172,3.13,0.32,12.3,6.0
6.7,0.43,0.23,5,0.157,49,145,0.99471,3.17,0.49,9.4,5.0
7.2,0.2,0.38,1,0.037,21,74,0.9918,3.21,0.37,11.0,5.0
8.3,0.21,0.58,17.1,0.049,62,213,1.0006,3.01,0.51,9.3,6.0
5.5,0.29,0.3,1.1,0.022,20,110,0.98869,3.34,0.38,12.8,7.0
7.8,0.21,0.27,1.2,0.051,20,89,0.9936,3.06,0.46,9.1,5.0
5.9,0.24,0.3,2,0.033,28,92,0.99225,3.39,0.69,10.9,7.0
7.4,0.16,0.49,1.2,0.055,18,150,0.9917,3.23,0.47,11.2,6.0
8,0.17,0.29,2.4,0.029,52,119,0.98944,3.03,0.33,12.9,6.0
6.5,0.29,0.53,1.7,0.04,41,192,0.9922,3.26,0.59,10.4,7.0
6.6,0.27,0.25,3.1,0.052,41,188,0.9915,3.24,0.4,11.3,5.0
7.8,0.3,0.29,16.85,0.054,23,135,0.9998,3.16,0.38,9.0,6.0
7.8,0.31,0.4,1.6,0.027,20,87,0.9911,3.15,0.48,11.9,6.0
5.6,0.19,0.26,1.4,0.03,12,76,0.9905,3.25,0.37,10.9,7.0
6.4,0.29,0.44,3.6,0.2,75,181,0.9942,3.02,0.41,9.1,5.0
9.4,0.17,0.55,1.6,0.049,14,94,0.9949,3.02,0.61,10.3,6.0
6,0.59,0.0,0.8,0.037,30,95,0.99032,3.1,0.4,10.9,4.0
7.3,0.19,0.25,1.4,0.051,41,107,0.99382,3.53,0.66,10.5,7.0
6.7,0.21,0.34,1.4,0.049,36,112,0.99091,3.02,0.5,11.0,6.0
7.4,0.32,0.27,12.9,0.04,60,221,0.99831,3.05,0.66,9.4,5.0
7.1,0.18,0.26,1.3,0.041,20,71,0.9926,3.04,0.74,9.9,6.0
7.4,0.34,0.42,1.1,0.033,17,171,0.9917,3.12,0.53,11.3,6.0
7.4,0.3,0.22,5.25,0.053,33,180,0.9926,3.13,0.45,11.6,6.0
6.6,0.23,0.2,11.4,0.044,45,131,0.99604,2.96,0.51,9.7,6.0
6.7,0.46,0.21,4,0.034,12,88,0.99016,3.26,0.54,13.0,6.0
6.1,0.25,0.48,15.8,0.052,25,94,0.99782,3.07,0.45,9.2,6.0
6.1,0.38,0.14,3.9,0.06,27,113,0.99344,3.07,0.34,9.2,4.0
7.3,0.36,0.34,14.8,0.057,46,173,0.99751,3.14,0.57,10.2,5.0
7.1,0.26,0.19,8.2,0.051,53,187,0.996,3.16,0.52,9.7,5.0
6.1,0.25,0.28,10,0.055,56,131,0.994,3.22,0.35,10.9,6.0
6.7,0.34,0.31,16.4,0.051,20,146,0.99834,3.06,0.54,9.1,5.0
8.1,0.2,0.3,1.3,0.036,7,49,0.99242,2.99,0.73,10.3,5.0
7.5,0.27,0.36,7,0.036,45,164,0.9939,3.03,0.33,11.0,5.0
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6.0
7.1,0.53,0.24,0.8,0.029,29,86,0.993,3.16,0.32,9.1,4.0
6.6,0.24,0.38,8,0.042,56,187,0.99577,3.21,0.46,9.2,5.0
5.6,0.18,0.3,10.2,0.028,28,131,0.9954,3.49,0.42,10.8,7.0
7.2,0.31,0.5,13.3,0.056,68,195,0.9982,3.01,0.47,9.2,5.0
6.5,0.28,0.34,3.6,0.04,29,121,0.99111,3.28,0.48,12.1,7.0
7.1,0.2,0.3,0.9,0.019,4,28,0.98931,3.2,0.36,12.0,6.0
7.1,0.33,0.25,1.6,0.03,25,126,0.9901,3.22,0.34,12.1,7.0
6.8,0.21,0.62,6.4,0.041,7,113,0.99358,2.96,0.59,10.2,5.0
6.7,0.31,0.34,6.8,0.059,51,215,0.99538,3.33,0.56,10.3,5.0
5.8,0.2,0.34,1,0.035,40,86,0.98993,3.5,0.42,11.7,5.0
5.8,0.4,0.42,4.4,0.047,38.5,245,0.9937,3.25,0.57,9.6,6.0
7.3,0.29,0.29,4.6,0.029,27,155,0.9931,3.07,0.26,10.6,6.0
7.1,0.33,0.3,3.3,0.034,30,102,0.9912,3.08,0.31,12.3,7.0
6.8,0.57,0.29,2.2,0.04,15,77,0.9938,3.32,0.74,10.2,5.0
6.9,0.19,0.35,13.5,0.038,49,118,0.99546,3.0,0.63,10.7,6.0
7,0.22,0.24,11,0.041,75,167,0.99508,2.98,0.56,10.5,6.0
6.2,0.26,0.29,2,0.036,16,87,0.99081,3.33,0.61,11.8,6.0
7.1,0.26,0.34,14.4,0.067,35,189,0.9986,3.07,0.53,9.1,7.0
6.9,0.3,0.25,3.3,0.041,26,124,0.99428,3.18,0.5,9.3,6.0
7.4,0.18,0.24,1.4,0.047,21,106,0.99383,3.52,0.64,10.5,7.0
5.6,0.26,0.18,1.4,0.034,18,135,0.99174,3.32,0.35,10.2,6.0
7.5,0.21,0.29,1.5,0.046,35,107,0.99123,3.15,0.45,11.3,6.0
8,0.25,0.49,9,0.044,31,185,0.998,3.34,0.49,10.0,6.0
6.9,0.25,0.47,8.4,0.042,36,156,0.99604,3.15,0.55,9.4,6.0
6.9,0.49,0.24,1.2,0.049,13,125,0.9932,3.17,0.51,9.4,5.0
7.9,0.19,0.26,2.1,0.039,8,143,0.9942,3.05,0.74,9.8,5.0
7,0.13,0.37,12.85,0.042,36,105,0.99581,3.05,0.55,10.7,6.0
6.4,0.24,0.23,7.3,0.069,31,157,0.9962,3.25,0.53,9.1,5.0
7.8,0.27,0.35,1.2,0.05,36,140,0.99138,3.09,0.45,11.2,5.0
7.3,0.41,0.24,6.8,0.057,41,163,0.9949,3.2,0.41,9.9,6.0
6.8,0.16,0.29,10.4,0.046,59,143,0.99518,3.2,0.4,10.8,6.0
6.9,0.29,0.32,5.8,0.04,16,112,0.993,3.04,0.58,11.2,5.0
6.8,0.18,0.28,8.7,0.047,52,242,0.9952,3.22,0.53,10.5,6.0
6.7,0.325,0.82,1.2,0.152,49,120,0.99312,2.99,0.38,9.2,5.0
8,0.27,0.33,1.2,0.05,41,103,0.99002,3.0,0.45,12.4,6.0
5,0.27,0.4,1.2,0.076,42,124,0.99204,3.32,0.47,10.1,6.0
6.8,0.25,0.34,14,0.032,47,133,0.9952,3.37,0.5,12.2,7.0
6.4,0.15,0.44,1.2,0.043,67,150,0.9907,3.14,0.73,11.2,7.0
8.4,0.17,0.31,5.4,0.052,47,150,0.9953,3.24,0.38,9.8,5.0
6.3,0.4,0.24,5.1,0.036,43,131,0.99186,3.24,0.44,11.3,6.0
9.8,0.93,0.45,8.6,0.052,34,187,0.9994,3.12,0.59,10.2,4.0
6.7,0.24,0.32,9,0.023,20,109,0.99262,3.34,0.35,12.6,6.0
7.9,0.21,0.4,1.2,0.039,38,107,0.992,3.21,0.54,10.8,6.0
6.6,0.34,0.24,3.3,0.034,29,99,0.99031,3.1,0.4,12.3,7.0
6.5,0.22,0.25,17.1,0.05,44,138,1.0001,3.3,0.37,8.8,5.0
5.8,0.29,0.21,2.6,0.025,12,120,0.9894,3.39,0.79,14.0,7.0
6.8,0.2,0.59,0.9,0.147,38,132,0.993,3.05,0.38,9.1,6.0
7.1,0.36,0.37,4.8,0.019,39,114,0.99036,3.08,0.49,12.7,7.0
6.7,0.36,0.28,8.3,0.034,29,81,0.99151,2.96,0.39,12.5,6.0
5.8,0.17,0.3,1.4,0.037,55,130,0.9909,3.29,0.38,11.3,6.0
7.9,0.26,0.33,10.3,0.039,73,212,0.9969,2.93,0.49,9.5,6.0
6.9,0.43,0.28,9.4,0.056,29,183,0.99594,3.17,0.43,9.4,5.0
7,0.27,0.36,20.7,0.045,45,170,1.001,3.0,0.45,8.8,6.0
7.6,0.17,0.27,4.6,0.05,23,98,0.99422,3.08,0.47,9.5,6.0
6.4,0.105,0.29,1.1,0.035,44,140,0.99142,3.17,0.55,10.7,7.0
7.1,0.14,0.35,1.4,0.039,24,128,0.99212,2.97,0.68,10.4,5.0
6.2,0.18,0.38,1.5,0.028,36,117,0.993,3.47,0.54,9.7,6.0
6.6,0.64,0.28,4.4,0.032,19,78,0.99036,3.11,0.62,12.9,6.0
6.4,0.26,0.43,12.6,0.033,64,230,0.9974,3.08,0.38,8.9,5.0
6.9,0.24,0.33,12.5,0.046,47,153,0.9983,3.28,0.77,9.6,6.0
6.7,0.18,0.28,10.2,0.039,29,115,0.99469,3.11,0.45,10.9,7.0
8.1,0.28,0.46,15.4,0.059,32,177,1.0004,3.27,0.58,9.0,4.0
7,0.24,0.36,2.8,0.034,22,112,0.99,3.19,0.38,12.6,8.0
6.5,0.28,0.34,9.9,0.038,30,133,0.9954,3.11,0.44,9.8,5.0
7.6,0.15,0.35,4.3,0.051,23,98,0.99422,3.1,0.44,9.5,6.0
6.2,0.3,0.33,3.5,0.037,37,155,0.98987,3.18,0.37,12.4,6.0
6.7,0.28,0.34,8.9,0.048,32,111,0.99455,3.25,0.54,11.0,7.0
6.2,0.36,0.22,5.25,0.038,44,145,0.99184,3.22,0.4,11.2,6.0
7.4,0.44,0.2,11.5,0.049,44,157,0.998,3.27,0.44,9.0,5.0
6.4,0.26,0.42,9.7,0.044,30,140,0.9962,3.18,0.47,9.1,6.0
7.1,0.2,0.37,1.5,0.049,28,129,0.99226,3.15,0.52,10.8,5.0
7.1,0.27,0.27,10.4,0.041,26,114,0.99335,3.04,0.52,11.5,7.0
6.2,0.17,0.3,1.1,0.037,14,79,0.993,3.5,0.54,10.3,6.0
5,0.35,0.25,7.8,0.031,24,116,0.99241,3.39,0.4,11.3,6.0
7.8,0.29,0.22,9.5,0.056,44,213,0.99715,3.08,0.61,9.3,6.0
6.7,0.39,0.24,2.7,0.017,22,80,0.99084,3.03,0.37,11.5,5.0
6.8,0.14,0.18,1.4,0.047,30,90,0.99164,3.27,0.54,11.2,6.0
7.2,0.2,0.61,16.2,0.043,14,103,0.9987,3.06,0.36,9.2,6.0
5.6,0.46,0.24,4.8,0.042,24,72,0.9908,3.29,0.37,12.6,6.0
6.6,0.32,0.33,2.5,0.052,40,210,0.99316,3.15,0.6,10.0,5.0
6.1,0.3,0.3,2.1,0.031,50,163,0.9895,3.39,0.43,12.7,7.0
6.7,0.54,0.27,7.1,0.049,8,178,0.99502,3.16,0.38,9.4,4.0
7.1,0.18,0.32,12.2,0.048,36,125,0.9967,2.92,0.54,9.4,6.0
9.2,0.28,0.46,3.2,0.058,39,133,0.996,3.14,0.58,9.5,5.0
6.9,0.32,0.15,8.1,0.046,51,180,0.9958,3.13,0.45,8.9,5.0
6.7,0.48,0.32,1.4,0.021,22,121,0.9889,3.15,0.53,12.7,7.0
7,0.23,0.35,1.4,0.036,31,113,0.9912,3.16,0.48,10.8,7.0
7.8,0.29,0.29,3.15,0.044,41,117,0.99153,3.24,0.35,11.5,5.0
7.6,0.21,0.49,2.5,0.047,20,130,0.99178,3.15,0.48,11.1,5.0
7.2,0.26,0.4,6.3,0.047,52,172,0.99573,3.18,0.53,9.5,6.0
6.7,0.19,0.23,6.2,0.047,36,117,0.9945,3.34,0.43,9.6,6.0
6.2,0.23,0.36,17.2,0.039,37,130,0.99946,3.23,0.43,8.8,6.0
4.9,0.33,0.31,1.2,0.016,39,150,0.98713,3.33,0.59,14.0,8.0
6.5,0.18,0.29,1.7,0.035,39,144,0.9927,3.49,0.5,10.5,6.0
5.5,0.24,0.45,1.7,0.046,22,113,0.99224,3.22,0.48,10.0,5.0
7.2,0.29,0.4,7.6,0.024,56,177,0.9928,3.04,0.32,11.5,6.0
6.2,0.46,0.25,4.4,0.066,62,207,0.9939,3.25,0.52,9.8,5.0
8,0.19,0.36,1.8,0.05,16,84,0.9936,3.15,0.45,9.8,7.0
5.3,0.165,0.24,1.1,0.051,25,105,0.9925,3.32,0.47,9.1,5.0
5.5,0.3,0.25,1.9,0.029,33,118,0.98972,3.36,0.66,12.5,6.0
7.9,0.26,0.41,15.15,0.04,38,216,0.9976,2.96,0.6,10.0,6.0
7.3,0.4,0.26,5.45,0.016,26,90,0.98951,2.84,0.54,13.2,7.0
8.8,0.28,0.45,6,0.022,14,49,0.9934,3.01,0.33,11.1,7.0
6.7,0.2,0.3,1.4,0.025,17,76,0.99104,3.11,0.44,11.0,6.0
6.8,0.26,0.24,7.8,0.052,54,214,0.9961,3.13,0.47,8.9,5.0
