fixed acidity,volatile acidity,citric acid,residual sugar,chlorides,free sulfur dioxide,total sulfur dioxide,density,pH,sulphates,alcohol,quality
6.7,0.37,0.41,6.3,0.061,22,149,0.9953,3.16,0.47,9.6,6.0
7,0.24,0.36,4.9,0.083,10,133,0.9942,3.33,0.37,10.8,6.0
6.8,0.23,0.29,15.4,0.073,56,173,0.9984,3.06,0.41,8.7,6.0
6.7,0.36,0.26,7.9,0.034,39,123,0.99119,2.99,0.3,12.2,7.0
6.6,0.19,0.99,1.2,0.122,45,129,0.9936,3.09,0.31,8.7,6.0
6.1,0.27,0.3,16.7,0.039,49,172,0.99985,3.4,0.45,9.4,5.0
6.8,0.19,0.23,5.1,0.034,71,204,0.9942,3.23,0.69,10.1,5.0
7.8,0.25,0.34,13.7,0.044,66,184,0.99976,3.22,0.75,8.9,5.0
8.4,0.31,0.31,0.95,0.021,52,148,0.99038,2.93,0.32,11.5,5.0
7.4,0.28,0.5,12.1,0.049,48,122,0.9973,3.01,0.44,9.0,5.0
6.2,0.25,0.38,7.9,0.045,54,208,0.99572,3.17,0.46,9.1,5.0
5.9,0.2,0.23,1.5,0.037,38,93,0.99021,3.36,0.49,12.0,6.0
7.8,0.39,0.26,9.9,0.059,33,181,0.9955,3.04,0.42,10.9,6.0
6,0.21,0.3,8.7,0.036,47,127,0.99368,3.18,0.39,10.6,5.0
7.1,0.17,0.4,14.55,0.047,47,156,0.99945,3.34,0.78,9.1,6.0
5.8,0.3,0.38,4.9,0.039,22,86,0.98963,3.23,0.58,13.1,7.0
6.5,0.35,0.36,0.8,0.034,32,111,0.98942,3.11,0.5,12.1,8.0
6.3,0.29,0.29,3.3,0.037,32,140,0.9895,3.17,0.36,12.8,7.0
6.9,0.14,0.38,1,0.041,22,81,0.99043,3.03,0.54,11.4,6.0
7.9,0.46,0.32,4.1,0.033,40,138,0.9912,3.18,0.44,12.8,7.0
7.7,0.32,0.48,2.3,0.04,28,114,0.9911,3.2,0.52,12.8,7.0
7.2,0.22,0.28,7.2,0.06,41,132,0.9935,3.08,0.59,11.3,6.0
7,0.19,0.23,5.7,0.123,27,104,0.9954,3.04,0.54,9.4,6.0
7.2,0.24,0.34,1.1,0.045,3,64,0.9913,3.23,0.51,11.4,5.0
7.7,0.12,0.32,1.4,0.06,47,150,0.9952,3.37,0.42,9.2,6.0
6.5,0.41,0.24,14,0.048,24,113,0.9982,3.44,0.53,9.8,6.0
7.4,0.26,0.43,6,0.022,22,125,0.9928,3.13,0.55,11.5,6.0
8.4,0.2,0.31,2.8,0.054,16,89,0.99416,2.96,0.45,9.5,6.0
6.6,0.28,0.28,8.5,0.052,55,211,0.9962,3.09,0.55,8.9,6.0
5.6,0.175,0.29,0.8,0.043,20,67,0.99112,3.28,0.48,9.9,6.0
6.7,0.24,0.26,5.4,0.03,15,94,0.99045,3.15,0.38,12.7,6.0
8,0.45,0.28,10.8,0.051,25,157,0.9957,3.06,0.47,11.4,7.0
3.8,0.31,0.02,11.1,0.036,20,114,0.99248,3.75,0.44,12.4,6.0
8.1,0.19,0.4,0.9,0.037,73,180,0.9926,3.06,0.34,10.0,6.0
7.1,0.17,0.38,7.4,0.052,49,182,0.9958,3.35,0.52,9.6,6.0
6,0.26,0.15,1.2,0.053,35,124,0.99347,3.08,0.46,8.8,5.0
7,0.12,0.28,6.3,0.057,17,103,0.9957,3.5,0.44,9.6,5.0
6.6,0.23,0.18,8.5,0.044,59,188,0.99558,3.16,0.49,9.5,5.0
7.3,0.17,0.24,8.1,0.121,32,162,0.99508,3.17,0.38,10.4,8.0
7.2,0.28,0.3,10.7,0.044,61,222,0.9972,3.14,0.5,9.1,6.0
7.1,0.22,0.33,2.8,0.033,48,153,0.9899,3.15,0.38,12.7,7.0
7.4,0.16,0.3,13.7,0.056,33,168,0.99825,2.9,0.44,8.7,7.0
4.8,0.33,0.0,6.5,0.028,34,163,0.9937,3.35,0.61,9.9,5.0
6.1,0.55,0.15,9.8,0.031,19,125,0.9957,3.36,0.47,10.2,6.0
5.9,0.19,0.26,7.4,0.034,33,123,0.995,3.49,0.42,10.1,6.0
6.3,0.28,0.29,6.8,0.051,40,143,0.99374,3.43,0.59,11.0,6.0
6.3,0.695,0.55,12.9,0.056,58,252,0.99806,3.29,0.49,8.7,5.0
7,0.22,0.28,1.5,0.037,29,115,0.9927,3.11,0.55,10.5,6.0
7.2,0.24,0.19,7.7,0.045,53,176,0.9958,3.17,0.38,9.5,5.0
6.7,0.2,0.37,1.65,0.025,42,103,0.99022,3.11,0.45,11.4,5.0
6.6,0.32,0.24,1.3,0.06,42.5,204,0.99512,3.59,0.51,9.2,5.0
7.1,0.25,0.3,2.4,0.042,25,122,0.994,3.43,0.61,10.5,6.0
7.5,0.16,0.38,12.7,0.043,70.5,163,0.99706,3.15,0.82,10.4,7.0
6.7,0.24,0.3,3.85,0.042,105,179,0.99189,3.04,0.59,11.3,8.0
7.1,0.2,0.36,11.6,0.042,45,124,0.997,2.92,0.59,9.5,7.0
6.7,0.16,0.36,2,0.045,24,131,0.99284,3.3,0.59,10.5,6.0
6.6,0.27,0.41,1.3,0.052,16,142,0.9951,3.42,0.47,10.0,6.0
7.1,0.31,0.17,1,0.042,21,144,0.99304,3.13,0.4,9.6,5.0
5,0.24,0.19,5,0.043,17,101,0.99438,3.67,0.57,10.0,5.0
7,0.46,0.39,6.2,0.039,46,163,0.9928,3.21,0.35,12.2,7.0
6.3,0.32,0.17,17.75,0.06,51,190,0.99916,3.13,0.48,8.8,6.0
6.5,0.43,0.28,11.25,0.032,31,87,0.9922,3.02,0.38,12.4,6.0
5.1,0.14,0.25,0.7,0.039,15,89,0.9919,3.22,0.43,9.2,6.0
7,0.12,0.29,10.3,0.039,41,98,0.99564,3.19,0.38,9.8,8.0
7.4,0.105,0.34,12.2,0.05,57,146,0.9973,3.16,0.37,9.0,6.0
6.3,0.25,0.27,6.6,0.054,40,158,0.99378,3.2,0.48,10.3,5.0
4.8,0.29,0.23,1.1,0.044,38,180,0.98924,3.28,0.34,11.9,6.0
7.6,0.31,0.23,12.7,0.054,20,139,0.99836,3.16,0.5,9.7,4.0
9.2,0.34,0.27,1.2,0.026,17,73,0.9921,3.08,0.39,10.8,5.0
7.4,0.3,0.49,8.2,0.055,49,188,0.9974,3.52,0.58,9.7,6.0
6.5,0.18,0.26,1.4,0.041,40,141,0.9941,3.34,0.72,9.5,6.0
7,0.16,0.26,6.85,0.047,30,220,0.99622,3.38,0.58,10.1,6.0
6.4,0.3,0.3,2.25,0.038,8,210,0.9937,3.2,0.62,9.9,6.0
7.8,0.25,0.37,1,0.043,10,80,0.99128,3.08,0.38,11.4,5.0
8.5,0.32,0.36,14.9,0.041,47,190,0.9982,3.08,0.31,10.0,6.0
5.9,0.27,0.29,11.4,0.036,31,115,0.9949,3.35,0.48,10.5,8.0
5.6,0.185,0.19,7.1,0.048,36,110,0.99438,3.26,0.41,9.5,6.0
7.6,0.2,0.3,14.2,0.056,53,212.5,0.999,3.14,0.46,8.9,8.0
7.2,0.34,0.23,8.9,0.105,22,155,0.99692,3.01,0.58,9.5,5.0
6.5,0.28,0.27,5.2,0.04,44,179,0.9948,3.19,0.69,9.4,6.0
6.4,0.31,0.53,8.8,0.057,36,221,0.99642,3.17,0.44,9.1,5.0
8.5,0.56,0.74,17.85,0.051,51,243,1.0005,2.99,0.7,9.2,5.0
6.8,0.31,0.3,8,0.028,33,122,0.99164,3.13,0.63,12.6,7.0
5.7,0.46,0.46,1.4,0.04,31,169,0.9932,3.13,0.47,8.8,5.0
4.8,0.21,0.21,10.2,0.037,17,112,0.99324,3.66,0.48,12.2,7.0
6.5,0.28,0.38,7.8,0.031,54,216,0.99154,3.03,0.42,13.1,6.0
5,0.33,0.23,11.8,0.03,23,158,0.99322,3.41,0.64,11.8,6.0
6.5,0.2,0.33,1.5,0.039,36,110,0.99008,3.22,0.65,12.0,6.0
5.7,0.22,0.28,1.3,0.027,26,101,0.98948,3.35,0.38,12.5,7.0
6.4,0.32,0.27,4.9,0.034,18,122,0.9916,3.36,0.71,12.5,6.0
6.1,0.16,0.37,1.1,0.031,37,97,0.9922,3.4,0.58,10.5,6.0
7.5,0.22,0.29,4.8,0.05,33,87,0.994,3.14,0.42,9.9,5.0
8.2,0.2,0.49,3.5,0.057,14,108,0.9928,3.19,0.35,11.5,6.0
7.1,0.2,0.31,6.85,0.053,32,211,0.99587,3.31,0.59,10.4,6.0
6.1,0.6,0.0,1.3,0.042,24,79,0.9937,3.31,0.38,9.4,4.0
5.9,0.34,0.22,2.4,0.03,19,135,0.9894,3.41,0.78,13.9,7.0
6.6,0.28,0.42,8.2,0.044,60,196,0.99562,3.14,0.48,9.4,5.0
6.4,0.14,0.28,7.9,0.057,21,82,0.99425,3.26,0.36,10.0,6.0
9.2,0.16,0.49,2,0.044,18,107,0.99514,3.1,0.53,10.2,4.0
7.1,0.47,0.29,14.8,0.024,22,142,0.99518,3.12,0.48,12.0,8.0
8.3,0.18,0.3,1.1,0.033,20,57,0.99109,3.02,0.51,11.0,6.0
8.5,0.21,0.41,4.3,0.036,24,99,0.9947,3.18,0.53,9.7,6.0
6.1,0.17,0.42,15.1,0.033,28,124,0.99684,2.87,0.47,9.5,5.0
7,0.53,0.43,6.1,0.029,6,76,0.99118,3.08,0.5,12.5,8.0
6.3,0.22,0.34,1.2,0.036,32,96,0.98961,3.06,0.74,11.6,6.0
6.9,0.32,0.16,1.4,0.051,15,96,0.994,3.22,0.38,9.5,4.0
6.9,0.34,0.36,1.4,0.032,13,145,0.99214,3.07,0.52,9.8,5.0
6.9,0.115,0.35,5.4,0.048,36,108,0.9939,3.32,0.42,10.2,6.0
6.4,0.32,0.25,5,0.055,28,138,0.99171,3.27,0.5,12.4,8.0
6.8,0.22,0.31,6.9,0.037,33,121,0.99176,3.02,0.39,11.9,8.0
7,0.2,0.34,5.7,0.035,32,83,0.9928,3.19,0.46,11.5,6.0
4.7,0.455,0.18,1.9,0.036,33,106,0.98746,3.21,0.83,14.0,7.0
7.5,0.42,0.14,10.7,0.046,18,95,0.9959,3.22,0.33,10.7,5.0
6.2,0.16,0.47,1.4,0.029,23,81,0.99,3.26,0.42,12.2,6.0
6.6,0.23,0.3,4.6,0.06,29,154,0.99142,3.23,0.49,12.2,8.0
5.7,0.27,0.32,1.2,0.046,20,155,0.9934,3.8,0.41,10.2,6.0
7.7,0.18,0.3,1.2,0.046,49,199,0.99413,3.03,0.38,9.3,5.0
7,0.23,0.33,1,0.043,46,110,0.99118,3.04,0.65,10.8,6.0
7.3,0.24,0.34,15.4,0.05,38,174,0.9983,3.03,0.42,9.0,6.0
6.6,0.25,0.42,11.3,0.049,77,231,0.9966,3.24,0.52,9.5,6.0
7.6,0.16,0.44,1.4,0.043,25,109,0.9932,3.11,0.75,10.3,6.0
6.6,0.34,0.34,2.6,0.051,40.5,210,0.99314,3.15,0.61,10.0,5.0
8.2,0.17,0.32,1.5,0.05,17,101,0.994,3.14,0.58,9.5,5.0
7.8,0.22,0.38,10.3,0.059,28,99,0.9967,3.12,0.47,10.0,6.0
8.3,0.26,0.31,2,0.029,14,141,0.99077,2.95,0.77,12.2,6.0
6.4,0.38,0.26,8.2,0.043,28,98,0.99234,2.99,0.31,11.4,6.0
7.2,0.21,0.36,15.7,0.045,68,183,0.99922,3.25,0.76,9.4,5.0
7.3,0.4,0.28,6.5,0.037,26,97,0.99148,3.16,0.58,12.6,7.0
8,0.25,0.49,1.2,0.061,27,117,0.9938,3.08,0.34,9.4,5.0
8.1,0.26,0.33,11.1,0.052,52.5,158,0.9976,3.03,0.49,10.2,7.0
6.5,0.18,0.34,1.6,0.04,43,148,0.9912,3.32,0.59,11.5,8.0
6.3,0.19,0.32,2.8,0.046,18,80,0.99043,2.92,0.47,11.05,6.0
5.9,0.25,0.27,1.5,0.029,37,81,0.9892,3.2,0.46,12.2,6.0
7.2,0.23,0.19,13.7,0.052,47,197,0.99865,3.12,0.53,9.0,5.0
9,0.43,0.3,1.5,0.05,7,175,0.9951,3.11,0.45,9.7,4.0
7.5,0.24,0.31,13.1,0.05,26,180,0.99884,3.05,0.53,9.1,6.0
7.1,0.28,0.19,7.8,0.04,48,184,0.99579,3.16,0.5,9.4,5.0
6.2,0.22,0.28,2.2,0.04,24,125,0.9917,3.19,0.48,10.5,6.0
4.8,0.17,0.28,2.9,0.03,22,111,0.9902,3.38,0.34,11.3,7.0
5.6,0.19,0.27,0.9,0.04,52,103,0.99026,3.5,0.39,11.2,5.0
6.2,0.21,0.34,6.6,0.03,36,91,0.9914,3.32,0.45,12.5,7.0
7.9,0.28,0.41,2,0.044,50,152,0.9934,3.45,0.49,10.7,8.0
6.8,0.19,0.36,1.9,0.035,30,96,0.9917,3.15,0.54,10.8,7.0
7.7,0.31,0.26,7.8,0.031,23,90,0.9944,3.13,0.5,10.4,5.0
7.8,0.3,0.74,1.8,0.033,33,156,0.991,3.29,0.52,12.8,6.0
5.8,0.2,0.27,1.4,0.031,12,77,0.9905,3.25,0.36,10.9,7.0
6.9,0.75,0.13,6.3,0.036,19,50,0.99312,3.09,0.25,11.1,4.0
8.3,0.28,0.45,7.8,0.059,32,139,0.9972,3.33,0.77,11.2,6.0
5.7,0.21,0.37,4.5,0.04,58,140,0.99332,3.29,0.62,10.6,6.0
6.4,0.16,0.28,2.2,0.042,33,93,0.9914,3.31,0.43,11.1,6.0
7.2,0.35,0.34,12.4,0.051,6,37,0.9944,3.13,0.39,11.5,6.0
6.9,0.19,0.35,1.7,0.036,33,101,0.99315,3.21,0.54,10.8,7.0
5.7,0.12,0.26,5.5,0.034,21,99,0.99324,3.09,0.57,9.9,6.0
6.4,0.37,0.19,3.5,0.068,18,101,0.9934,3.03,0.38,9.0,6.0
6.7,0.25,0.31,1.35,0.061,30.5,218,0.99388,3.16,0.53,9.5,5.0
7.6,0.18,0.36,2.4,0.049,38,123,0.996,3.6,0.46,10.3,5.0
6.8,0.36,0.24,4.6,0.039,24,124,0.9909,3.27,0.34,12.6,7.0
7.1,0.18,0.39,14.5,0.051,48,156,0.99947,3.35,0.78,9.1,5.0
6.8,0.33,0.28,1.2,0.032,38,131,0.9889,3.19,0.41,13.0,6.0
5.8,0.28,0.35,2.3,0.053,36,114,0.9924,3.28,0.5,10.2,4.0
7.4,0.18,0.31,1.4,0.058,38,167,0.9931,3.16,0.53,10.0,7.0
6.8,0.2,0.27,1.2,0.034,19,68,0.9902,3.14,0.37,11.7,4.0
7.6,0.29,0.42,1.3,0.035,18,86,0.9908,2.99,0.39,11.3,5.0
6,0.22,0.28,1.1,0.034,47,90,0.98862,3.22,0.38,12.6,6.0
6.2,0.3,0.49,11.2,0.058,68,215,0.99656,3.19,0.6,9.4,6.0
7.2,0.21,0.35,14.5,0.048,35,178,0.9982,3.05,0.47,8.9,6.0
6.8,0.39,0.34,7.4,0.02,38,133,0.99212,3.18,0.44,12.0,7.0
6.4,0.25,0.57,1,0.062,21,122,0.99238,3.0,0.4,9.5,5.0
6.6,0.41,0.24,4.9,0.158,47,144,0.99471,3.17,0.49,9.4,5.0
6.4,0.16,0.42,1,0.036,29,113,0.9908,3.18,0.52,11.0,6.0
6.4,0.31,0.28,1.5,0.037,12,119,0.9919,3.32,0.51,10.4,7.0
6,0.34,0.66,15.9,0.046,26,164,0.9979,3.14,0.5,8.8,6.0
7,0.17,0.37,5.7,0.025,29,111,0.9938,3.2,0.49,10.8,6.0
8.5,0.26,0.21,16.2,0.074,41,197,0.998,3.02,0.5,9.8,3.0
7.5,0.33,0.28,4.9,0.042,21,155,0.99385,3.36,0.57,10.9,6.0
8.4,0.2,0.38,11.8,0.055,51,170,1.0004,3.34,0.82,8.9,6.0
7.5,0.3,0.21,6.55,0.026,33,143,0.99244,2.92,0.35,11.1,5.0
6.7,0.26,0.49,8.3,0.047,54,191,0.9954,3.23,0.4,10.3,6.0
6.4,0.29,0.28,11.1,0.063,66,169,0.9973,2.89,0.57,9.0,5.0
5.8,0.27,0.27,12.3,0.045,55,170,0.9972,3.28,0.42,9.3,6.0
6.3,0.27,0.51,7.6,0.049,35,200,0.99548,3.16,0.54,9.4,4.0
7.2,0.25,0.39,18.95,0.038,42,155,0.9999,2.97,0.47,9.0,6.0
5.5,0.31,0.29,3,0.027,16,102,0.99067,3.23,0.56,11.2,6.0
7.3,0.24,0.43,2,0.021,20,69,0.99,3.08,0.56,12.2,6.0
6.6,0.23,0.32,0.9,0.041,25,79,0.9926,3.39,0.54,10.2,7.0
7.3,0.25,0.36,2.1,0.034,30,177,0.99085,3.25,0.4,11.9,8.0
6,0.17,0.21,6,0.05,26,134,0.9939,3.08,0.54,9.8,6.0
7.2,0.23,0.38,6.1,0.067,20,90,0.99496,3.17,0.79,9.7,5.0
7,0.21,0.34,8.5,0.033,31,253,0.9953,3.22,0.56,10.5,6.0
9.9,1.005,0.46,1.4,0.046,34,185,0.9966,3.02,0.49,10.2,4.0
6.2,0.19,0.38,5.1,0.019,22,82,0.98961,3.05,0.36,12.5,6.0
8.7,0.34,0.46,13.8,0.055,68,198,0.9988,3.36,0.37,9.5,6.0
6.1,0.14,0.25,1.3,0.047,37,173,0.9925,3.35,0.46,10.0,6.0
6.7,0.3,0.29,2.8,0.025,37,107,0.99159,3.31,0.63,11.3,7.0
7.2,0.24,0.36,2,0.029,21,63,0.99076,3.13,0.63,12.5,6.0
9.3,0.2,0.33,1.7,0.05,28,178,0.9954,3.16,0.43,9.0,4.0
8.1,0.2,0.28,0.9,0.023,49,87,0.99062,2.92,0.36,11.1,6.0
8.1,0.28,0.49,1,0.04,32,148,0.9936,3.13,0.41,10.0,6.0
8.7,0.31,0.73,14.35,0.044,27,191,1.00013,2.96,0.88,8.7,5.0
6.2,0.12,0.34,1.5,0.045,43,117,0.9939,3.42,0.51,9.0,6.0
8,0.4,0.33,7.7,0.034,27,98,0.9935,3.18,0.41,12.2,7.0
